id,title,brand,size,refresh_rate,resolution,panel_type,is_curved,is_gaming,is_frameless,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a6b2a4fcdb66800a5201f62,Koorui 27″Inch 27N5CA Curved Va Brand New Monitor 75Hz,Other,27 Inch,75Hz,1080p FHD,VA,True,False,False,"Rs 41,000",41000,Brand New,Colombo,koorui-27inch-27n5ca-curved-va-brand-new-monitor-75hz-for-sale-colombo-21,https://ikman.lk/en/ad/koorui-27inch-27n5ca-curved-va-brand-new-monitor-75hz-for-sale-colombo-21,I MAC LK(PVT)LTD,True,1 month
6a6b29f05054cabcc338d4d8,Asus Tuf Gaming Vg279 Q3 R BRAND-NEW Monitor,Asus,Unknown,60Hz,Unknown,Standard,False,True,False,"Rs 57,400",57400,Brand New,Colombo,asus-tuf-gaming-vg279-q3-r-brand-new-monitor-for-sale-colombo-1,https://ikman.lk/en/ad/asus-tuf-gaming-vg279-q3-r-brand-new-monitor-for-sale-colombo-1,I MAC LK(PVT)LTD,True,1 month
6a6b2973c26cfdb373589de7,Asus - VY279HGR 27″ Inch Brand New Gaming Monitor,Asus,27 Inch,60Hz,1080p FHD,Standard,False,True,False,"Rs 49,500",49500,Brand New,Colombo,asus-vy279hgr-27-inch-brand-new-gaming-monitor-for-sale-colombo-4,https://ikman.lk/en/ad/asus-vy279hgr-27-inch-brand-new-gaming-monitor-for-sale-colombo-4,I MAC LK(PVT)LTD,True,1 month
6a6b291ab88c1c144b12df84,Acer Nitro KG273 W3 27INCH Gaming Monitor,Acer,27 Inch,60Hz,1080p FHD,Standard,False,True,False,"Rs 50,000",50000,Brand New,Colombo,acer-nitro-kg273-w3-27inch-gaming-monitor-for-sale-colombo-6,https://ikman.lk/en/ad/acer-nitro-kg273-w3-27inch-gaming-monitor-for-sale-colombo-6,I MAC LK(PVT)LTD,True,1 month
6a6b28b15054cabcc338d4d0,MSI Mag 325QF E18V 31.5” Inch Gaming Monitor,MSI,Unknown,60Hz,Unknown,Standard,False,True,False,"Rs 92,000",92000,Brand New,Colombo,msi-mag-325qf-e18v-315-inch-gaming-monitor-for-sale-colombo-5,https://ikman.lk/en/ad/msi-mag-325qf-e18v-315-inch-gaming-monitor-for-sale-colombo-5,I MAC LK(PVT)LTD,True,1 month
6a6b28087535723dfa23b6ca,Samsung LS49DG930SEXXS 49 Inch Odyssey OLED G9 Gaming Monitor,Samsung,49 Inch,60Hz,Unknown,OLED,False,True,False,"Rs 525,500",525500,Brand New,Colombo,samsung-ls49dg930sexxs-49-inch-odyssey-oled-g9-gaming-monitor-for-sale-colombo-3,https://ikman.lk/en/ad/samsung-ls49dg930sexxs-49-inch-odyssey-oled-g9-gaming-monitor-for-sale-colombo-3,I MAC LK(PVT)LTD,True,1 month
6a6b27161a38a6b4c5e8f059,Samsung LS24F320GAEXXS 24″ Ips FHD 120Hz Essential Monitor,Samsung,24 Inch,120Hz,1080p FHD,IPS,False,False,False,"Rs 40,000",40000,Brand New,Colombo,samsung-ls24f320gaexxs-24-ips-fhd-120hz-essential-monitor-for-sale-colombo-8,https://ikman.lk/en/ad/samsung-ls24f320gaexxs-24-ips-fhd-120hz-essential-monitor-for-sale-colombo-8,I MAC LK(PVT)LTD,True,1 month
6a6b260c206305293a5304a5,MSI Pro MP225V 21.5 Inch Professional Brand New Monitor,MSI,21.5 Inch,60Hz,Unknown,Standard,False,False,False,"Rs 25,500",25500,Brand New,Colombo,msi-pro-mp225v-215-inch-professional-brand-new-monitor-for-sale-colombo-6,https://ikman.lk/en/ad/msi-pro-mp225v-215-inch-professional-brand-new-monitor-for-sale-colombo-6,I MAC LK(PVT)LTD,True,1 month
6a6b25728349dde7331136fb,Samsung Odyssey LS25BG400EEXXS 25 Inch Brand New Gaming Monitor,Samsung,25 Inch,60Hz,Unknown,Standard,False,True,False,"Rs 89,500",89500,Brand New,Colombo,samsung-odyssey-ls25bg400eexxs-25-inch-brand-new-gaming-monitor-for-sale-colombo-6,https://ikman.lk/en/ad/samsung-odyssey-ls25bg400eexxs-25-inch-brand-new-gaming-monitor-for-sale-colombo-6,I MAC LK(PVT)LTD,True,1 month
6a6b23ce4e7b4bb7b9e1c2ea,Samsung LS27BG400EEXXS 27 Inch Brand New Gaming Monitor,Samsung,27 Inch,60Hz,1080p FHD,Standard,False,True,False,"Rs 98,000",98000,Brand New,Colombo,samsung-ls27bg400eexxs-27-inch-brand-new-gaming-monitor-for-sale-colombo-3,https://ikman.lk/en/ad/samsung-ls27bg400eexxs-27-inch-brand-new-gaming-monitor-for-sale-colombo-3,I MAC LK(PVT)LTD,True,1 month
69a2a6503b0094105bbb3ecb,Acer 27 Inch\ Brandnew Monitors (144Hz).,Acer,27 Inch,144Hz,1080p FHD,Standard,False,False,False,"Rs 37,500",37500,Brand New,Colombo,acer-27-inch-brandnew-monitors-144hz-for-sale-colombo-14,https://ikman.lk/en/ad/acer-27-inch-brandnew-monitors-144hz-for-sale-colombo-14, Laptop Market,True,1 month
6a6b138d8349dde733113658,MSI PRO MP243L E14 23.8 INCH FHD 144Hz IPS BRAND NEW MONITOR..,MSI,23.8 Inch,144Hz,1080p FHD,IPS,False,False,False,"Rs 34,000",34000,Brand New,Colombo,msi-pro-mp243l-e14-238-inch-fhd-144hz-ips-brand-new-monitor-for-sale-colombo-6,https://ikman.lk/en/ad/msi-pro-mp243l-e14-238-inch-fhd-144hz-ips-brand-new-monitor-for-sale-colombo-6,I MAC LK (PVT) LTD,True,1 month
6a6b118af6e31d20fa8617ba,"KOORUI 27"" E2721H QHD IPS 120HZ 2K BRAND NEW GAMING MONITOR",Other,27 Inch,120Hz,2K QHD,IPS,False,True,False,"Rs 52,500",52500,Brand New,Colombo,koorui-27-e2721h-qhd-ips-120hz-2k-brand-new-gaming-monitor-for-sale-colombo-3,https://ikman.lk/en/ad/koorui-27-e2721h-qhd-ips-120hz-2k-brand-new-gaming-monitor-for-sale-colombo-3,Myitem.lk (PVT) Ltd,True,1 month
6a6b10d8cdb66800a5201ea2,Asus TUF Gaming VG279QE5A 27″ FHD IPS 146HZ Monitor,Asus,27 Inch,146Hz,1080p FHD,IPS,False,True,False,"Rs 46,500",46500,Brand New,Colombo,asus-tuf-gaming-vg279qe5a-27-fhd-ips-146hz-monitor-for-sale-colombo-60,https://ikman.lk/en/ad/asus-tuf-gaming-vg279qe5a-27-fhd-ips-146hz-monitor-for-sale-colombo-60,Myitem.lk (PVT) Ltd,True,1 month
6a6b10392dd21255a6e8efa8,"Acer 27"" Full HD Nitro Gaming Monitor - KG273 W3 240Hz Brand New",Acer,27 Inch,240Hz,1080p FHD,Standard,False,True,False,"Rs 49,500",49500,Brand New,Colombo,acer-27-full-hd-nitro-gaming-monitor-kg273-w3-240hz-brand-new-for-sale-colombo-64,https://ikman.lk/en/ad/acer-27-full-hd-nitro-gaming-monitor-kg273-w3-240hz-brand-new-for-sale-colombo-64,Myitem.lk (PVT) Ltd,True,1 month
6a6b0bcd72188d76df12df13,"Dell P2317H 23"" inch Full HD IPS monitor USED",Dell,23 Inch,60Hz,1080p FHD,IPS,False,False,False,"Rs 15,000",15000,Used,Colombo,dell-p2317h-23-inch-full-hd-ips-monitor-used-for-sale-colombo,https://ikman.lk/en/ad/dell-p2317h-23-inch-full-hd-ips-monitor-used-for-sale-colombo,Computer Store.lk Pvt Ltd,True,1 month
6a6b080308416ae72538d371,32 Inch Samsung IPS HDMI 2K Used Monitor,Samsung,32 Inch,60Hz,2K QHD,IPS,False,False,False,"Rs 39,000",39000,Used,Colombo,32-inch-samsung-ips-hdmi-2k-used-monitor-for-sale-colombo-6,https://ikman.lk/en/ad/32-inch-samsung-ips-hdmi-2k-used-monitor-for-sale-colombo-6,Mdcomputers.lk(Pvt) Ltd,True,1 month
