price_lkr,log_price_lkr,norm_model,vram_gb,brand,G3Dmark,G2Dmark,log_G3Dmark,fp32_gflops,memory_bandwidth_gb_s,shader_units,gpu_base_clock_mhz,boost_clock_mhz,tdp_watts,perf_score,perf_per_watt,release_year,gpu_age_years,architecture,model_number,series_family,gpu_generation,ti_variant,bench_match,spec_match
23000.0,10.043249494911286,GeForce GTX 1050,2.0,NVIDIA,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20000.0,9.903487552536127,GeForce GTX 1050,2.0,MSI,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
16000.0,9.680344001221918,GeForce GTX 1050,2.0,NVIDIA,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
21500.0,9.975808214115753,GeForce GTX 1050,2.0,NVIDIA,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
20000.0,9.903487552536127,GeForce GTX 1050,3.0,NVIDIA,5090.0,475.0,8.535229553902337,1862.0,112.1,640.0,1354.0,1455.0,75.0,5090.0,67.86666666666666,2016.0,10.0,Pascal,1050.0,GTX,3,0,GeForce GTX 1050,GeForce GTX 1050
27000.0,10.203592144986466,GeForce GTX 1050 Ti,4.0,MSI,6314.0,651.0,8.750683034784592,2138.0,112.1,768.0,1291.0,1392.0,75.0,6314.0,84.18666666666667,2016.0,10.0,Pascal,1050.0,GTX,3,1,GeForce GTX 1050 Ti,GeForce GTX 1050 Ti
34500.0,10.448714603019452,GeForce GTX 1050 Ti,4.0,MSI,6314.0,651.0,8.750683034784592,2138.0,112.1,768.0,1291.0,1392.0,75.0,6314.0,84.18666666666667,2016.0,10.0,Pascal,1050.0,GTX,3,1,GeForce GTX 1050 Ti,GeForce GTX 1050 Ti
34500.0,10.448714603019452,GeForce GTX 1050 Ti,4.0,ZOTAC,6314.0,651.0,8.750683034784592,2138.0,112.1,768.0,1291.0,1392.0,75.0,6314.0,84.18666666666667,2016.0,10.0,Pascal,1050.0,GTX,3,1,GeForce GTX 1050 Ti,GeForce GTX 1050 Ti
33500.0,10.419300717813158,GeForce GTX 1050 Ti,4.0,MSI,6314.0,651.0,8.750683034784592,2138.0,112.1,768.0,1291.0,1392.0,75.0,6314.0,84.18666666666667,2016.0,10.0,Pascal,1050.0,GTX,3,1,GeForce GTX 1050 Ti,GeForce GTX 1050 Ti
26000.0,10.165851817003619,GeForce GTX 1050 Ti,4.0,ZOTAC,6314.0,651.0,8.750683034784592,2138.0,112.1,768.0,1291.0,1392.0,75.0,6314.0,84.18666666666667,2016.0,10.0,Pascal,1050.0,GTX,3,1,GeForce GTX 1050 Ti,GeForce GTX 1050 Ti
